time_s,original,denoised,removed_noise
-0.5,0.063,0.06829094579447381,-0.00843696989580559
-0.499755859375,0.063,0.06838352352250499,-0.007955792642920564
-0.49951171875,0.063,0.06853196296843561,-0.0064172201810331906
-0.499267578125,0.071,0.0687312751978373,-0.004036249421192117
-0.4990234375,0.079,0.06879633490281362,-0.0012120723623904844
-0.498779296875,0.087,0.06851032597681919,0.0016019720065015165
-0.49853515625,0.071,0.06781808830529831,0.00406372968766312
-0.498291015625,0.071,0.06725132995067123,0.006141815193595542
-0.498046875,0.087,0.06693013632904463,0.007672274417265595
-0.497802734375,0.079,0.06652885462127921,0.008349061002464282
-0.49755859375,0.071,0.06629416068187104,0.008187470980871917
-0.497314453125,0.087,0.06642242018405255,0.00726242282894921
-0.4970703125,0.079,0.0665397506458137,0.005488419913472591
-0.496826171875,0.079,0.06673464833210037,0.0030688306187559725
-0.49658203125,0.071,0.0670366285993181,0.0002855512269415763
-0.496337890625,0.071,0.06759792929496188,-0.002472726927144455
-0.49609375,0.071,0.06837515883841215,-0.004888532907452521
-0.495849609375,0.055,0.06940174827842341,-0.006643586045623445
-0.49560546875,0.079,0.07091702667671902,-0.007424181937110086
-0.495361328125,0.063,0.07240596262138362,-0.007339383831552064
-0.4951171875,0.079,0.07406342547923322,-0.006318292439628103
-0.494873046875,0.079,0.07557411266421417,-0.004589385320238509
-0.49462890625,0.079,0.07686988756923775,-0.0023538150015571385
-0.494384765625,0.071,0.07808338365343408,0.00022628526709725488
-0.494140625,0.095,0.07937374395672803,0.002936318107096958
-0.493896484375,0.102,0.08014945786690969,0.005218165493269457
-0.49365234375,0.087,0.08023460845636823,0.006741760992704295
-0.493408203125,0.095,0.08002257341294594,0.007520533789144001
-0.4931640625,0.087,0.07946117997800135,0.007475903353127292
-0.492919921875,0.095,0.07868248898616385,0.00667339222845262
-0.49267578125,0.087,0.07755249752954489,0.005144817448976407
-0.492431640625,0.087,0.07618991635360925,0.003096237479289801
-0.4921875,0.071,0.07468544319568027,0.0007828618457733406
-0.491943359375,0.087,0.07332145394199603,-0.001452970832490332
-0.49169921875,0.087,0.07168207699282006,-0.0035670920139870086
-0.491455078125,0.063,0.06975273504800437,-0.0053380205378886075
-0.4912109375,0.055,0.06823736982685943,-0.006256585921336973
-0.490966796875,0.063,0.06743895245238408,-0.006094722959577017
-0.49072265625,0.071,0.06714375049153483,-0.005014488421956225
-0.490478515625,0.071,0.06710438293013483,-0.0033249203740138376
-0.490234375,0.071,0.06732262138749937,-0.0012931196300480351
-0.489990234375,0.079,0.0677955721795264,0.0007970387163119621
-0.48974609375,0.071,0.06839590711977149,0.002637102202817849
-0.489501953125,0.079,0.06929632802558888,0.004095164841349335
-0.4892578125,0.087,0.07029939594495105,0.004953773181208698
-0.489013671875,0.087,0.07113732704482834,0.00505856718571505
-0.48876953125,0.087,0.07176034228856444,0.004469265817006106
-0.488525390625,0.071,0.07222556066153459,0.0034055766220806444
-0.48828125,0.063,0.0729917432360571,0.0022981290006507775
-0.488037109375,0.087,0.07417694535169872,0.0013752134432210435
-0.48779296875,0.087,0.07508105271685073,0.00043592153551888784
-0.487548828125,0.087,0.0755004630790509,-0.0005449208768905334
-0.4873046875,0.079,0.07542354797067449,-0.0014849935395875795
-0.487060546875,0.071,0.07508750057342853,-0.0021862385145060776
-0.48681640625,0.087,0.07465089149498601,-0.002516467405039415
-0.486572265625,0.079,0.07377181768345682,-0.0025940069486981928
-0.486328125,0.079,0.07260106310632293,-0.0023571205016021477
-0.486083984375,0.063,0.07134088243710374,-0.0017382277773801606
-0.48583984375,0.071,0.0704376209994796,-0.0006365794792238595
-0.485595703125,0.071,0.06983497728457855,0.0007443272244427522
-0.4853515625,0.087,0.06943696037544644,0.0021022272536319886
-0.485107421875,0.079,0.0688930817714407,0.003034164590211266
-0.48486328125,0.079,0.06836400100847316,0.003425683144319831
-0.484619140625,0.079,0.06791021457430606,0.003233162155544966
-0.484375,0.071,0.06757920486297754,0.002515027044376371
-0.484130859375,0.087,0.06747980682884874,0.0014438152020675244
-0.48388671875,0.063,0.06731093649107449,0.00010552362584509715
-0.483642578125,0.063,0.06760126367570564,-0.0010289109031950527
-0.4833984375,0.071,0.06839209458553815,-0.0017252778767300587
-0.483154296875,0.071,0.06938085908651839,-0.001988701521396341
-0.48291015625,0.079,0.07043349331010865,-0.0018403818392060645
