time_s,original,ceemdan,vmd_ssa,vmd_mpe_0_60
-0.5,0.063,0.0645234920680662,0.0659794721047836,0.061084569172352
-0.499755859375,0.063,0.0669142247540666,0.0662929302814408,0.061560483703974
-0.49951171875,0.063,0.0700986660675276,0.0674835508912066,0.062939040407806
-0.499267578125,0.071,0.0734969097613625,0.0694222862215285,0.0650608708766202
-0.4990234375,0.079,0.0765422716015918,0.071258365234471,0.0674663725004909
-0.498779296875,0.087,0.0788445047150813,0.072705219240842,0.069611935259415
-0.49853515625,0.071,0.0802248289547569,0.0734745302376368,0.0711507756034366
-0.498291015625,0.071,0.0807643986239703,0.0742551286330391,0.0724710099056902
-0.498046875,0.087,0.0806352145936252,0.0752077256884474,0.0735056714437537
-0.497802734375,0.079,0.0799537191739808,0.0755590853474235,0.073709924271392
-0.49755859375,0.071,0.078813421088785,0.075460894171983,0.0733092668062791
-0.497314453125,0.087,0.0773538322014057,0.0752793567207386,0.0725548050768477
-0.4970703125,0.079,0.0757060144220867,0.0745320273218792,0.071094112021487
-0.496826171875,0.079,0.07396077495893,0.0735178703962655,0.0692081192661668
-0.49658203125,0.071,0.0722433205605482,0.0719787697514548,0.067173101032736
-0.496337890625,0.071,0.0708003911943607,0.0708470633515067,0.0654434251178221
-0.49609375,0.071,0.0698853171025941,0.0702595377472476,0.0642347999492029
-0.495849609375,0.055,0.0697005556665008,0.069905412858532,0.0638200903666115
-0.49560546875,0.079,0.0703407363559358,0.0708240819269792,0.0646492040256212
-0.495361328125,0.063,0.071816879362158,0.0720202372605493,0.0661813862480017
-0.4951171875,0.079,0.0740815395486312,0.0738992293098383,0.0686371328521894
-0.494873046875,0.079,0.0770107247030577,0.0756079319072216,0.0715470166087109
-0.49462890625,0.079,0.0804739473876054,0.0775770593665139,0.0746727021678197
-0.494384765625,0.071,0.0842541183950915,0.0799690030407583,0.0779754135729606
-0.494140625,0.095,0.0879857558500802,0.0830280769942946,0.0814138519579863
-0.493896484375,0.102,0.0912465363890269,0.085448555039147,0.0840384697249314
-0.49365234375,0.087,0.0936506844671924,0.0865747771816426,0.0854377090987163
-0.493408203125,0.095,0.0948780579562231,0.0870654799936907,0.0859529737763808
-0.4931640625,0.087,0.0946307989693522,0.0869110013634508,0.0854628382627302
-0.492919921875,0.095,0.0928315579007226,0.0864859133829621,0.0841321520047799
-0.49267578125,0.087,0.0896784275718607,0.0849376264383867,0.0818734697219086
-0.492431640625,0.087,0.0855226030988003,0.0828531020355255,0.0789600791606262
-0.4921875,0.071,0.0808206865363751,0.0806715312215752,0.0756759615586317
