frequency_hz,Original,CEEMDAN,VMD-SSA,VMD-MPE (threshold 0.60)
0.0,0.07318260532051475,0.07271281306382014,0.07141538299729289,0.0676640869298214
0.12229421073060043,0.0033785940643980207,0.0011893371384499927,0.0032982432930620466,0.003126956330188863
0.24458842146120086,0.009759060583490646,0.007947644231896983,0.009530186523921928,0.009042376533724883
0.3668826321918013,0.02080377393875201,0.019458638633118693,0.020321583098650543,0.019296867435882183
0.4891768429224017,0.023076992347512818,0.022276956665236793,0.022549435283838737,0.021428476025539506
0.6114710536530021,0.0226401601273944,0.02197072373704972,0.022130751530953646,0.021045396992666398
0.7337652643836026,0.02363228079502387,0.02226099385552929,0.023109665875957357,0.021991083389687322
0.856059475114203,0.025547477393952852,0.024645047834205232,0.02499225414502021,0.023798298683237483
0.9783536858448034,0.015680417116607868,0.01659537873478027,0.015343628653452209,0.01462166199918137
1.1006478965754039,0.024722753370465,0.02311862156117294,0.024199955409330457,0.023078211232224338
1.2229421073060043,0.045867838918649456,0.0437495909786875,0.044915015755682394,0.04286124968477037
1.3452363180366047,0.04938338582459004,0.04859294578369589,0.0483724477769514,0.04619365318615689
1.4675305287672051,0.035342171559966634,0.035528462586417384,0.034628774996400345,0.03309327170453511
1.5898247394978056,0.0038910310360087404,0.004379879409728917,0.0038129774350481272,0.0036471781544600633
1.712118950228406,0.01919128081054271,0.021096127227655734,0.018815906377725112,0.018006737634577965
1.8344131609590064,0.03199219738984506,0.03426128752647129,0.03137720836911989,0.030048539979231376
1.9567073716896068,0.029832028356729677,0.03168521422169955,0.029269150543532983,0.028048381554140273
2.079001582420207,0.015567573392146766,0.016029357492563377,0.01527968545855586,0.014651765404709145
2.2012957931508077,0.00603634523800749,0.008232803811916184,0.005925794702648254,0.005686870876451525
2.3235900038814084,0.02376655156419439,0.0268094958141215,0.023340946797022116,0.022412939335976687
2.4458842146120086,0.03240705017170826,0.03492599659762647,0.031836983737161706,0.03059146737533467
2.5681784253426088,0.03153695414724088,0.03235777320715416,0.03099146633723092,0.029799189437645188
2.6904726360732094,0.022464172050145073,0.022863086209766986,0.02208203912951245,0.021246943046454865
2.81276684680381,0.015397987242207659,0.018386215567360795,0.015140405308930436,0.014577693942932953
2.9350610575344103,0.017587212946694887,0.021170530609199153,0.017298329265715416,0.016666484116963944
3.0573552682650105,0.023222200693778835,0.024318987570815943,0.0228475277511011,0.022027731595379133
3.179649478995611,0.02546842113765063,0.025912409186435042,0.02506495941470992,0.024181644739792684
3.3019436897262118,0.023619064731285562,0.02610372445874249,0.023251920941476937,0.02244719731700718
3.424237900456812,0.022528313381101887,0.0261761364985542,0.02218490785226943,0.021430961851715738
3.546532111187412,0.02682227222377508,0.028918861598228946,0.026421661386759117,0.025539967459083657
