signal,peak_abs,mean,rms,std,dominant_frequency_0_250_hz,dominant_amplitude_0_250
Original,22.21,0.07318260532051472,1.1800002695604694,1.1777287219225325,13.819245812557849,0.16050769161801792
CEEMDAN,21.68642169948109,0.07271281306382014,1.174051380926467,1.1717975473057152,13.819245812557849,0.16857102667067614
VMD-SSA,21.817185345474783,0.07141538299729287,1.1721587484888825,1.169981185630937,13.819245812557849,0.1604951658620138
VMD-MPE (threshold 0.60),21.81545636409984,0.0676640869298214,1.1667358402782597,1.164772120343619,13.819245812557849,0.16046269968145715
