mode,column,initial_center_hz,final_center_hz,pe_scale_1,pe_scale_2,pe_scale_3,pe_scale_4,pe_scale_5,mean_mpe,mpe_threshold,is_noise,decision,mode_energy,mode_energy_percent,mode_rms,mode_peak_abs
1,mode_1,15.1,14.57820265379972,0.4092776516085583,0.4817968187373615,0.4940953983446197,0.47901787596919687,0.45311410641901434,0.46346037021575015,0.55,False,retained,29594.8061308795,73.42075733380483,0.9400062148519103,15.33355738485057
2,mode_2,36.2,34.89578370415053,0.3063217437164635,0.36651778483643604,0.3965006694148035,0.41223504396981303,0.42547495478487807,0.38141003934447887,0.55,False,retained,8431.965395962758,20.918578835968987,0.5017500021913051,8.49370734208272
3,mode_3,61.5,61.30269244082883,0.27428325513518337,0.3595179711712443,0.4152171096350064,0.4566698205137321,0.48853486944204705,0.39884460517944265,0.55,False,retained,1520.7171894245296,3.772696034713507,0.21308221506552105,3.635653417495056
4,mode_4,111.5,101.5632483778835,0.2852527845678198,0.3929156294259382,0.4736121422393792,0.5254470479707787,0.5547819748733365,0.4464019158154505,0.55,False,retained,151.78622147131904,0.37656132241504514,0.06731923160581842,1.068660157591718
5,mode_5,139.3,136.5831812356033,0.3145620004094623,0.4416234946540593,0.5199796380696935,0.556529177048232,0.588363464687289,0.48421155497374724,0.55,False,retained,187.16193948425456,0.46432374924935327,0.07475353655545458,1.611668456148392
6,mode_6,146.2,166.8470525094843,0.3347947518396425,0.46692961383729936,0.5326748935386845,0.5782305144848783,0.6548573130811711,0.5134974173563351,0.55,False,retained,154.4944121662382,0.3832799814576485,0.06791713593097076,1.311577497670915
7,mode_7,208.8,218.0172217798761,0.36874076364992675,0.4990449642427469,0.5627993462207606,0.6602029127065399,0.7012434308097675,0.5584062835259482,0.55,True,noise,123.39452004890084,0.3061253070138772,0.06069751510005722,1.32597638967546
8,mode_8,244.6,266.8273356124159,0.40891284254297083,0.5366883570883381,0.665596941693401,0.731391065613202,0.7626806478772501,0.6210539709630324,0.55,True,noise,144.17440982308878,0.3576774353767645,0.0656095511147329,1.633146211270732
