time_s,original,reconstructed_without_mode_6_to_mode_8,removed_mode_6_to_mode_8
-0.5,0.063,0.0654814103035169,-0.005627434404848669
-0.499755859375,0.063,0.06548113880409212,-0.0050534079245077015
-0.49951171875,0.063,0.06564023331769561,-0.003525490530293186
-0.499267578125,0.071,0.06596186948360783,-0.0012668437069626522
-0.4990234375,0.079,0.06630008104410579,0.0012841814963173396
-0.498779296875,0.087,0.06647510688690639,0.0036371910964143163
-0.49853515625,0.071,0.06642247116669041,0.005459346826271024
-0.498291015625,0.071,0.06654211096220412,0.006851034182062657
-0.498046875,0.087,0.06689695501932973,0.007705455726980491
-0.497802734375,0.079,0.06718925937966164,0.007688656244081852
-0.49755859375,0.071,0.06758592886579337,0.006895702796949586
-0.497314453125,0.087,0.0682158868815381,0.005468956131463661
-0.4970703125,0.079,0.06874997537330355,0.0032781951859827477
-0.496826171875,0.079,0.06923860156000147,0.0005648773908548746
-0.49658203125,0.071,0.06968445715881458,-0.0023622773325549028
-0.496337890625,0.071,0.07019586682505151,-0.005070664457234082
-0.49609375,0.071,0.07073039444248826,-0.0072437685115286235
-0.495849609375,0.055,0.07131751042387166,-0.008559348191071698
-0.49560546875,0.079,0.07216851459154354,-0.00867566985193461
-0.495361328125,0.063,0.07289269650180842,-0.007826117711976876
-0.4951171875,0.079,0.07368734657527369,-0.00594221353566857
-0.494873046875,0.079,0.07433717434364384,-0.003352446999668186
-0.49462890625,0.079,0.07482881518070837,-0.00031274261302775635
-0.494384765625,0.071,0.07530783196315603,0.003001836957375303
-0.494140625,0.095,0.07594326354122792,0.006366798522597064
-0.493896484375,0.102,0.07629251724489988,0.009075106115279266
-0.49365234375,0.087,0.07623865676084374,0.010737712688228793
-0.493408203125,0.095,0.07610960900089829,0.01143349820119165
-0.4931640625,0.087,0.07585705608466323,0.011080027246465424
-0.492919921875,0.095,0.07557525150221511,0.009780629712401356
-0.49267578125,0.087,0.07513232651334274,0.007564988465178549
-0.492431640625,0.087,0.07459353533117004,0.0046926185017290185
-0.4921875,0.071,0.07399246333341601,0.0014758417080375991
-0.491943359375,0.087,0.0735183586256478,-0.0016498755161421042
-0.49169921875,0.087,0.07279218087193084,-0.0046771958930977965
-0.491455078125,0.063,0.07175560810261081,-0.007340893592495037
-0.4912109375,0.055,0.07093021773677617,-0.008949433831253704
-0.490966796875,0.063,0.07052348468389591,-0.009179255191088845
-0.49072265625,0.071,0.07034586300671074,-0.008216600937132133
-0.490478515625,0.071,0.07019868224020445,-0.006419219684083451
-0.490234375,0.071,0.07009644850772653,-0.004066946750275199
-0.489990234375,0.079,0.07005829738212709,-0.0014656864862887162
-0.48974609375,0.071,0.0700087305383429,0.0010242787842464347
-0.489501953125,0.079,0.07012330529065665,0.003268187576281568
-0.4892578125,0.087,0.07028253871550917,0.004970630410650581
-0.489013671875,0.087,0.07031168634366164,0.0058842078868817545
-0.48876953125,0.087,0.07020674242596771,0.006022865679602836
-0.488525390625,0.071,0.07003954783151951,0.005591589452095717
-0.48828125,0.063,0.07020335025639347,0.005086521980314401
-0.488037109375,0.087,0.07082058959037425,0.004731569204545509
-0.48779296875,0.087,0.07135383585756712,0.004163138394802491
-0.487548828125,0.087,0.07166215241279277,0.0032933897893675968
-0.4873046875,0.079,0.07174090379200268,0.002197650639084234
-0.487060546875,0.071,0.07177058629818099,0.0011306757607414653
-0.48681640625,0.087,0.07185850955519371,0.00027591453475287625
-0.486572265625,0.079,0.0716969005065169,-0.000519089771758281
-0.486328125,0.079,0.07136874205385885,-0.0011247994491380706
-0.486083984375,0.063,0.07098777413467151,-0.001385119474947942
-0.48583984375,0.071,0.07086792063119954,-0.0010668791109437925
-0.485595703125,0.071,0.07092444716847617,-0.00034514265945486604
-0.4853515625,0.087,0.07105539426027395,0.0004837933688044804
-0.485107421875,0.079,0.07095845585123968,0.0009687905104122799
-0.48486328125,0.079,0.07074968630942156,0.001039997843371433
-0.484619140625,0.079,0.07046532110645677,0.0006780556233942471
-0.484375,0.071,0.07013677466676879,-4.254275941487692e-05
-0.484130859375,0.087,0.06985407658957964,-0.0009304545586633736
-0.48388671875,0.063,0.0693784463993368,-0.0019619862824172083
-0.483642578125,0.063,0.0691528996695913,-0.002580546897080714
-0.4833984375,0.071,0.06923554340493439,-0.002568726696126295
-0.483154296875,0.071,0.06942068000848363,-0.002028522443361583
-0.48291015625,0.079,0.06964813673716269,-0.0010550252662601062
-0.482666015625,0.087,0.06970554966205159,8.985685065753435e-05
-0.482421875,0.071,0.06947012038388133,0.0012165764033683713
-0.482177734375,0.071,0.06929454897098265,0.002503054197656276
-0.48193359375,0.079,0.06925370015380626,0.00388805518606988
-0.481689453125,0.087,0.0691587255974984,0.005058342539046257
-0.4814453125,0.079,0.06886264641398226,0.0057417933359001265
-0.481201171875,0.079,0.0685323277836803,0.005955358716857781
-0.48095703125,0.079,0.06820685169199366,0.005678362156576395
-0.480712890625,0.071,0.06791713598920462,0.004926965212454901
-0.48046875,0.087,0.06775498806912729,0.003792771828562341
-0.480224609375,0.079,0.06739501884604192,0.0021151047685864653
-0.47998046875,0.063,0.06697435397902816,0.00016306296887792147
-0.479736328125,0.071,0.06681398368843551,-0.00160394152421606
-0.4794921875,0.071,0.06675444972802348,-0.003102462361049266
-0.479248046875,0.071,0.06673091715979948,-0.004219229245388404
-0.47900390625,0.071,0.06672178995151685,-0.004832002735634756
-0.478759765625,0.055,0.0667959933561724,-0.004784621192504354
-0.478515625,0.063,0.06729686145284686,-0.003811969022435543
-0.478271484375,0.079,0.06808763317898214,-0.0021520065817375177
-0.47802734375,0.079,0.06881527903889238,-0.00031316373066045053
-0.477783203125,0.071,0.06951811967266437,0.0014791684315830808
-0.4775390625,0.079,0.07039661497326785,0.003146444883895501
-0.477294921875,0.079,0.07137338370421036,0.0044258003098135365
-0.47705078125,0.095,0.07237971051645077,0.005096707835861625
