time_s,original,denoised,removed_noise
-0.5,0.063,0.061084569172352075,-0.001230593273683855
-0.499755859375,0.063,0.061560483703974,-0.001132752824389579
-0.49951171875,0.063,0.06293904040780603,-0.0008242976204036082
-0.499267578125,0.071,0.06506087087662024,-0.0003658450999750644
-0.4990234375,0.079,0.06746637250049098,0.0001178900399321596
-0.498779296875,0.087,0.06961193525941503,0.0005003627239056744
-0.49853515625,0.071,0.07115077560343668,0.0007310423895247591
-0.498291015625,0.071,0.0724710099056902,0.0009221352385765657
-0.498046875,0.087,0.07350567144375376,0.001096739302556455
-0.497802734375,0.079,0.07370992427139209,0.0011679913523514
-0.49755859375,0.071,0.07330926680627914,0.00117236485646382
-0.497314453125,0.087,0.07255480507684776,0.001130037936153987
-0.4970703125,0.079,0.07109411202148706,0.0009340585377992315
-0.496826171875,0.079,0.06920811926616686,0.0005953596846894785
-0.49658203125,0.071,0.067173101032736,0.0001490787935236837
-0.496337890625,0.071,0.06544342511782211,-0.0003182227500046932
-0.49609375,0.071,0.0642347999492029,-0.0007481740182432769
-0.495849609375,0.055,0.06382009036661154,-0.001061928133811585
-0.49560546875,0.079,0.06464920402562127,-0.001156359286012332
-0.495361328125,0.063,0.06618138624800177,-0.00111480745817022
-0.4951171875,0.079,0.06863713285218949,-0.0008919998125843634
-0.494873046875,0.079,0.07154701660871096,-0.000562289264735295
-0.49462890625,0.079,0.07467270216781974,-0.0001566296001391293
-0.494384765625,0.071,0.07797541357296069,0.0003342553475706486
-0.494140625,0.095,0.08141385195798631,0.0008962101058386771
-0.493896484375,0.102,0.08403846972493144,0.001329153635247715
-0.49365234375,0.087,0.08543770909871631,0.001538660350356215
-0.493408203125,0.095,0.08595297377638081,0.001590133425709132
-0.4931640625,0.087,0.08546283826273024,0.001474245068398399
-0.492919921875,0.095,0.08413215200477994,0.001223729209836532
-0.49267578125,0.087,0.08187346972190865,0.0008238452566126435
-0.492431640625,0.087,0.07896007916062624,0.000326074672272815
-0.4921875,0.071,0.07567596155863178,-0.0002076565171781706
-0.491943359375,0.087,0.07254674759483976,-0.0006782644853340611
